PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_8624	chr2	26639336	26640336	+	239	NA	promoter-TSS (NR_028571)	promoter-TSS (NR_028571)	408	NR_024068	72091	Mm.27103	NR_024068		Snhg7	2610002F03Rik|AI427062	small nucleolar RNA host gene 7	ncRNA
clp_H3K4me3_1_peak_14198	chr7	46709916	46710916	+	239	NA	intron (NM_030233, intron 1 of 11)	CpG	235	NM_030233	78935	Mm.289866	NM_030233	ENSMUSG00000006763	Saal1	5031425D22Rik|SPACIA1	serum amyloid A-like 1	protein-coding
clp_H3K4me3_1_peak_12676	chr5	138187295	138188295	+	239	NA	promoter-TSS (NM_009315)	promoter-TSS (NM_009315)	260	NM_178612	66455	Mm.24592	NM_178612	ENSMUSG00000036968	Cnpy4	2610019P18Rik	canopy FGF signaling regulator 4	protein-coding
clp_H3K4me3_1_peak_1583	chr10	80826916	80827916	+	238	NA	intron (NM_001301034, intron 1 of 4)	intron (NM_001301034, intron 1 of 4)	720	NR_027656	100041965	Mm.328806	NR_027656		Oaz1-ps	Gm1823|Gm9786|Oaz-ps	ornithine decarboxylase antizyme 1, pseudogene	pseudo
clp_H3K4me3_1_peak_1003	chr1	191224158	191225158	+	237	NA	intron (NR_151547, intron 1 of 1)	CpG	204	NR_151547	100504360	Mm.16927	NM_001033188		D730003I15Rik	AU020850	RIKEN cDNA D730003I15 gene	ncRNA
clp_H3K4me3_1_peak_1867	chr10	122984566	122985566	+	237	NA	TTS (NR_029527)	TTS (NR_029527)	658	NR_029527	387251		NR_029527	ENSMUSG00000065406	Mirlet7i	Mirnlet7i|let-7i|mmu-let-7i	microRNA let7i	ncRNA
clp_H3K4me3_1_peak_7834	chr19	4011940	4012940	+	237	NA	intron (NM_133666, intron 1 of 9)	intron (NM_133666, intron 1 of 9)	315	NM_133666	17995	Mm.29842	NM_133666	ENSMUSG00000037916	Ndufv1	CI-51kD	NADH:ubiquinone oxidoreductase core subunit V1	protein-coding
clp_H3K4me3_1_peak_5012	chr14	57398440	57399440	+	237	NA	promoter-TSS (NM_030004)	promoter-TSS (NM_030004)	-457	NM_030004	68631	Mm.25539	NM_030004	ENSMUSG00000021947	Cryl1	1110025H08Rik|A230106J09Rik|C85932|gul3dh	crystallin, lambda 1	protein-coding
clp_H3K4me3_1_peak_14311	chr7	79920092	79921092	+	236	NA	promoter-TSS (NM_009682)	promoter-TSS (NM_009682)	48	NM_009682	11778	Mm.220173	NM_009682	ENSMUSG00000063801	Ap3s2	[s]3B	adaptor-related protein complex 3, sigma 2 subunit	protein-coding
clp_H3K4me3_1_peak_2787	chr11	87403689	87404689	+	236	NA	promoter-TSS (NM_031386)	promoter-TSS (NM_031386)	317	NM_053269	114714	Mm.37376	NM_053269	ENSMUSG00000007646	Rad51c	R51H3|Rad51l2	RAD51 paralog C	protein-coding
clp_H3K4me3_1_peak_941	chr1	180850931	180851931	+	236	NA	intron (NM_145943, intron 1 of 6)	intron (NM_145943, intron 1 of 6)	280	NM_145943	208768	Mm.272625	NM_145943	ENSMUSG00000038806	Sde2	-	SDE2 telomere maintenance homolog (S. pombe)	protein-coding
clp_H3K4me3_1_peak_9069	chr2	91729973	91730973	+	236	NA	intron (NM_001080754, intron 1 of 18)	GC_rich|Low_complexity|Low_complexity	335	NM_172669	228361	Mm.436667	NM_172669	ENSMUSG00000040506	Ambra1	2310079H06Rik|A130023A14|AA474864|AV021921|D030051N19Rik|mKIAA1736	autophagy/beclin 1 regulator 1	protein-coding
clp_H3K4me3_1_peak_6951	chr17	35837248	35838248	+	235	NA	intron (NM_011655, intron 1 of 3)	intron (NM_011655, intron 1 of 3)	553	NM_011655	22154	Mm.273538	NM_011655	ENSMUSG00000001525	Tubb5	AA408537|AI596182|B130022C14Rik|M(beta)5	tubulin, beta 5 class I	protein-coding
clp_H3K4me3_1_peak_8522	chr2	18587243	18588243	+	235	NA	Intergenic	Intergenic	-84692	NM_147778	12238	Mm.249586	NM_147778	ENSMUSG00000051154	Commd3	AW550818|Bup|D2Ertd542e	COMM domain containing 3	protein-coding
clp_H3K4me3_1_peak_14598	chr7	118740291	118741291	+	235	NA	intron (NM_027815, intron 1 of 30)	intron (NM_027815, intron 1 of 30)	520	NM_027815	71517	Mm.213298	NM_027815	ENSMUSG00000030982	Vps35l	2610029J22Rik|9030624J02Rik|Vsp35l	VPS35 endosomal protein sorting factor like	protein-coding
clp_H3K4me3_1_peak_7318	chr17	86144393	86145393	+	235	NA	intron (NM_030133, intron 1 of 20)	CpG	282	NM_030133	78586	Mm.146236	NM_030133	ENSMUSG00000024135	Srbd1	AI461933|C85414|D530025C17Rik	S1 RNA binding domain 1	protein-coding
clp_H3K4me3_1_peak_5454	chr15	58872172	58873172	+	235	NA	promoter-TSS (NM_026642)	promoter-TSS (NM_026642)	23	NM_026642	68260	Mm.278805	NM_026642	ENSMUSG00000037085	Trmt12	4632406N01Rik|AI449275|Tyw2	tRNA methyltranferase 12	protein-coding
clp_H3K4me3_1_peak_4111	chr13	23543557	23544557	+	234	NA	promoter-TSS (NM_178197)	promoter-TSS (NM_178197)	5	NM_013548	260423	Mm.221389	NM_013548	ENSMUSG00000100210	Hist1h3f	H3.2-221|Hist1	histone cluster 1, H3f	protein-coding
clp_H3K4me3_1_peak_2573	chr11	73198693	73199693	+	234	NA	promoter-TSS (NM_001357892)	promoter-TSS (NM_001357892)	-151	NM_001357892	83429	Mm.259852	NM_031251	ENSMUSG00000005949	Ctns	AI195360|AW049661	cystinosis, nephropathic	protein-coding
clp_H3K4me3_1_peak_14116	chr7	43671800	43672800	+	234	NA	intron (NM_145582, intron 1 of 2)	intron (NM_145582, intron 1 of 2)	269	NM_145582	233189	Mm.26514	NM_145582	ENSMUSG00000038888	Ctu1	Atpbd3|BC005752	cytosolic thiouridylase subunit 1	protein-coding
clp_H3K4me3_1_peak_2573-2	chr11	73198693	73199693	+	234	NA	promoter-TSS (NM_001357892)	promoter-TSS (NM_001357892)	-151	NM_001357892	83429	Mm.259852	NM_031251	ENSMUSG00000005949	Ctns	AI195360|AW049661	cystinosis, nephropathic	protein-coding
clp_H3K4me3_1_peak_9406	chr2	136891912	136892912	+	234	NA	intron (NM_001355670, intron 2 of 7)	intron (NM_001355670, intron 2 of 7)	244	NM_028834	74243	Mm.330612	NM_028201	ENSMUSG00000027281	Slx4ip	2210009G21Rik|2410004I22Rik|C85661|Slxip	SLX4 interacting protein	protein-coding
clp_H3K4me3_1_peak_12691	chr5	139344373	139345373	+	233	NA	intron (NM_197980, intron 1 of 2)	intron (NM_197980, intron 1 of 2)	293	NM_197980	68033	Mm.261064	NM_197980	ENSMUSG00000045438	Cox19	1810074D02Rik|2810437L13Rik	cytochrome c oxidase assembly protein 19	protein-coding
clp_H3K4me3_1_peak_14189	chr7	45830113	45831113	+	233	NA	exon (NM_153419, exon 1 of 7)	exon (NM_153419, exon 1 of 7)	176	NM_153419	101612	Mm.274847	NM_153419	ENSMUSG00000053801	Grwd1	A301|AI504353|Grwd|Wdr28	glutamate-rich WD repeat containing 1	protein-coding
clp_H3K4me3_1_peak_5139	chr14	73384151	73385151	+	233	NA	intron (NM_008410, intron 1 of 5)	intron (NM_008410, intron 1 of 5)	638	NM_008410	16432	Mm.4266	NM_008410	ENSMUSG00000022108	Itm2b	AI256040|Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2	integral membrane protein 2B	protein-coding
clp_H3K4me3_1_peak_9339	chr2	129129500	129130500	+	233	NA	intron (NM_025395, intron 1 of 3)	intron (NM_025395, intron 1 of 3)	300	NM_025395	66170	Mm.40621	NM_025395	ENSMUSG00000037938	Chchd5	1110027L01Rik|AW045710	coiled-coil-helix-coiled-coil-helix domain containing 5	protein-coding
clp_H3K4me3_1_peak_9475	chr2	152847860	152848860	+	233	NA	intron (NM_028109, intron 1 of 17)	intron (NM_028109, intron 1 of 17)	396	NM_001141978	72119	Mm.407737	NM_028109	ENSMUSG00000027469	Tpx2	2610005B21Rik|DIL2|REPP86|p100	TPX2, microtubule-associated	protein-coding
clp_H3K4me3_1_peak_12578-2	chr5	130254667	130255667	+	232	NA	promoter-TSS (NM_178897)	promoter-TSS (NM_178897)	363	NM_023248	66711	Mm.280484	NM_023248	ENSMUSG00000025337	Sbds	4733401P19Rik|AI836084|CGI-97|SDS	SBDS ribosome maturation factor	protein-coding
clp_H3K4me3_1_peak_12578	chr5	130254667	130255667	+	232	NA	promoter-TSS (NM_178897)	promoter-TSS (NM_178897)	363	NM_023248	66711	Mm.280484	NM_023248	ENSMUSG00000025337	Sbds	4733401P19Rik|AI836084|CGI-97|SDS	SBDS ribosome maturation factor	protein-coding
clp_H3K4me3_1_peak_16620	chr9	120577008	120578008	+	231	NA	non-coding (NR_073359, exon 1 of 1)	non-coding (NR_073359, exon 1 of 1)	177	NR_073359	76100	Mm.48212	NR_073359	ENSMUSG00000052658	5830454E08Rik	-	RIKEN cDNA 5830454E08 gene	ncRNA
clp_H3K4me3_1_peak_10222	chr3	95588608	95589608	+	231	NA	exon (NM_001177669, exon 1 of 4)	exon (NM_001177669, exon 1 of 4)	174	NM_001177669	229593	Mm.245830	NM_146133	ENSMUSG00000046519	Golph3l	2010204I15Rik|AU015439|AW549227|C77637|Gpp34r	golgi phosphoprotein 3-like	protein-coding
clp_H3K4me3_1_peak_1421	chr10	68541093	68542093	+	230	NA	intron (NM_028491, intron 1 of 7)	intron (NM_028491, intron 1 of 7)	282	NM_028491	73287	Mm.141830	NM_028491	ENSMUSG00000019945	Cabcoco1	1700040L02Rik	ciliary associated calcium binding coiled-coil 1	protein-coding
clp_H3K4me3_1_peak_15485	chr8	105288994	105289994	+	230	NA	promoter-TSS (NM_001166394)	promoter-TSS (NM_001166394)	34	NM_028888	74356	Mm.204876	NM_028888	ENSMUSG00000014837	4931428F04Rik	AI426165|Kiaa0895l	RIKEN cDNA 4931428F04 gene	protein-coding
clp_H3K4me3_1_peak_15755	chr9	7836057	7837057	+	230	NA	intron (NM_007465, intron 1 of 7)	intron (NM_007465, intron 1 of 7)	249	NM_001291503	11797	Mm.335659	NM_007465	ENSMUSG00000057367	Birc2	AW146227|Api1|Api2|Birc3|C-IAP1|C330006D17Rik|HIAP1|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF48|cIAP1|cIAP2|mcIAP1	baculoviral IAP repeat-containing 2	protein-coding
clp_H3K4me3_1_peak_9818	chr3	27153040	27154040	+	230	NA	promoter-TSS (NR_040548)	promoter-TSS (NR_040548)	314	NM_001177625	13605	Mm.261453	NM_007900	ENSMUSG00000027699	Ect2	AI528536	ect2 oncogene	protein-coding
clp_H3K4me3_1_peak_3763	chr12	85270061	85271061	+	230	NA	promoter-TSS (NM_001304475)	promoter-TSS (NM_001304475)	30	NM_001304475	217716	Mm.311981	NM_145446	ENSMUSG00000021245	Mlh3	AV125803|BB126472	mutL homolog 3	protein-coding
clp_H3K4me3_1_peak_14890	chr8	3620515	3621515	+	230	NA	promoter-TSS (NM_001195244)	promoter-TSS (NM_001195244)	281	NM_026156	67439	Mm.23739	NM_026156	ENSMUSG00000019470	Xab2	0610041O14Rik|AV025587	XPA binding protein 2	protein-coding
clp_H3K4me3_1_peak_14438	chr7	99858080	99859080	+	230	NA	promoter-TSS (NM_001164258)	promoter-TSS (NM_001164258)	303	NM_025668	66624	Mm.30043	NM_025668	ENSMUSG00000035227	Spcs2	5730406I15Rik|AA408713|mKIAA0102	signal peptidase complex subunit 2 homolog (S. cerevisiae)	protein-coding
clp_H3K4me3_1_peak_15485-2	chr8	105288994	105289994	+	230	NA	promoter-TSS (NM_001166394)	promoter-TSS (NM_001166394)	34	NM_028888	74356	Mm.204876	NM_028888	ENSMUSG00000014837	4931428F04Rik	AI426165|Kiaa0895l	RIKEN cDNA 4931428F04 gene	protein-coding
clp_H3K4me3_1_peak_5949	chr16	4003034	4004034	+	229	NA	Intergenic	CpG	-1856	NM_177472	52864	Mm.29935	NM_177472	ENSMUSG00000039738	Slx4	AI256635|AI426760|Btbd12|D16Bwg1016e	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	protein-coding
clp_H3K4me3_1_peak_3078	chr11	103697125	103698125	+	229	NA	promoter-TSS (NM_019650)	promoter-TSS (NM_019650)	98	NM_019650	56494	Mm.195451	NM_019650	ENSMUSG00000020946	Gosr2	2310032N09Rik|C76855|Gs27|SNARE|membrin	golgi SNAP receptor complex member 2	protein-coding
clp_H3K4me3_1_peak_3078-2	chr11	103697125	103698125	+	229	NA	promoter-TSS (NM_019650)	promoter-TSS (NM_019650)	98	NM_019650	56494	Mm.195451	NM_019650	ENSMUSG00000020946	Gosr2	2310032N09Rik|C76855|Gs27|SNARE|membrin	golgi SNAP receptor complex member 2	protein-coding
clp_H3K4me3_1_peak_3478	chr12	32820690	32821690	+	229	NA	intron (NM_021524, intron 1 of 10)	intron (NM_021524, intron 1 of 10)	855	NM_021524	59027	Mm.202727	NM_021524	ENSMUSG00000020572	Nampt	1110035O14Rik|AI314458|AI480535|NAmPRTase|Pbef|Pbef1|Visfatin	nicotinamide phosphoribosyltransferase	protein-coding
clp_H3K4me3_1_peak_2444	chr11	68901597	68902597	+	228	NA	intron (NM_009080, intron 1 of 3)	intron (NM_009080, intron 1 of 3)	508	NR_003373	100034726	Mm.3229	NR_003373	ENSMUSG00000062353	Gm15772	Rpl26|SIG-20	ribosomal protein L26 pseudogene	pseudo
clp_H3K4me3_1_peak_9882	chr3	37312042	37313042	+	228	NA	promoter-TSS (NM_001255992)	promoter-TSS (NM_001255992)	-12	NM_001008502	241950	Mm.32171	NM_001008502	ENSMUSG00000051444	Bbs12	Gm1805|Gm407|Gm721	Bardet-Biedl syndrome 12 (human)	protein-coding
clp_H3K4me3_1_peak_7874	chr19	4961917	4962917	+	228	NA	exon (NM_025553, exon 1 of 5)	exon (NM_025553, exon 1 of 5)	111	NM_025553	66419	Mm.28494	NM_025553	ENSMUSG00000024902	Mrpl11	2410001P07Rik|L11mt	mitochondrial ribosomal protein L11	protein-coding
clp_H3K4me3_1_peak_15799	chr9	20607058	20608058	+	228	NA	promoter-TSS (NR_033729)	promoter-TSS (NR_033729)	83	NR_033729	66662	Mm.477847	NM_175110	ENSMUSG00000062470	Fbxl12os	5730577I03Rik	F-box and leucine-rich repeat protein 12, opposite strand	pseudo
clp_H3K4me3_1_peak_16305	chr9	79793327	79794327	+	228	NA	promoter-TSS (NM_133718)	promoter-TSS (NM_133718)	186	NR_040734	74633	Mm.262175	NR_040734	ENSMUSG00000086918	4930429F24Rik	-	RIKEN cDNA 4930429F24 gene	ncRNA
clp_H3K4me3_1_peak_2564	chr11	72795194	72796194	+	228	NA	promoter-TSS (NM_001045536)	promoter-TSS (NM_001045536)	145	NM_001024926	192986	Mm.194755	NM_001024926	ENSMUSG00000057778	Cyb5d2	9330151E16Rik|Gm2	cytochrome b5 domain containing 2	protein-coding
clp_H3K4me3_1_peak_1671	chr10	85956830	85957830	+	228	NA	intron (NM_145422, intron 1 of 11)	intron (NM_145422, intron 1 of 11)	463	NM_145422	28088	Mm.9257	NM_145422	ENSMUSG00000001783	Rtcb	AI255213|AI463255|D10Wsu52e|FAAP|HSPC117	RNA 2',3'-cyclic phosphate and 5'-OH ligase	protein-coding
clp_H3K4me3_1_peak_5923	chr15	102721287	102722287	+	227	NA	intron (NM_026192, intron 1 of 14)	intron (NM_026192, intron 1 of 14)	391	NM_026192	67488	Mm.71682	NM_026192	ENSMUSG00000023055	Calcoco1	1810009B06Rik|Cocoa|Gcap11|mKIAA1536	calcium binding and coiled coil domain 1	protein-coding
clp_H3K4me3_1_peak_10094	chr3	88297048	88298048	+	227	NA	promoter-TSS (NM_029801)	promoter-TSS (NM_029801)	413	NM_009836	12462	Mm.256034	NM_009836	ENSMUSG00000001416	Cct3	AL024092|Cctg|Tcp1-rs3|TriC-P5	chaperonin containing Tcp1, subunit 3 (gamma)	protein-coding
clp_H3K4me3_1_peak_11071	chr4	108117872	108118872	+	227	NA	intron (NM_011327, intron 1 of 15)	CpG	175	NM_011327	20280	Mm.379011	NM_011327	ENSMUSG00000028603	Scp2	AA409774|AA409893|C76618|C79031|NSL-TP|SCP-2|SCP-X|SCPX|ns-LTP	sterol carrier protein 2, liver	protein-coding
clp_H3K4me3_1_peak_15534	chr8	107150480	107151480	+	227	NA	intron (NM_025558, intron 1 of 4)	CpG	319	NM_025558	66427	Mm.20242	NM_025558	ENSMUSG00000031924	Cyb5b	1810044O22Rik|AU015618|Cyb5m	cytochrome b5 type B	protein-coding
clp_H3K4me3_1_peak_11354	chr4	131872685	131873685	+	227	NA	promoter-TSS (NM_001369310)	promoter-TSS (NM_001369310)	-452	NM_001369311	57317	Mm.2478	NM_020587	ENSMUSG00000028911	Srsf4	5730499P16Rik|AW550192|MNCb-2616|SRp75|Sfrs4	serine/arginine-rich splicing factor 4	protein-coding
clp_H3K4me3_1_peak_9140	chr2	106002805	106003805	+	227	NA	non-coding (NR_033993, exon 1 of 4)	non-coding (NR_033993, exon 1 of 4)	244	NR_033993	99349	Mm.25661	NM_026992	ENSMUSG00000027166	Dnajc24	1700030A21Rik|2610027M02Rik|AV066965|AW240712|Dph4|MmDjC7|Zcsl3	DnaJ heat shock protein family (Hsp40) member C24	protein-coding
clp_H3K4me3_1_peak_4664	chr13	112660578	112661578	+	227	NA	intron (NM_178746, intron 1 of 14)	intron (NM_178746, intron 1 of 14)	312	NM_178746	268706	Mm.40834	NM_175376	ENSMUSG00000047789	Slc38a9	4833412L08Rik|6720411P22Rik|9130023D20Rik|9430067K09Rik|A730092C09	solute carrier family 38, member 9	protein-coding
clp_H3K4me3_1_peak_6330	chr16	57166590	57167590	+	227	NA	intron (NM_023175, intron 1 of 9)	CpG	242	NM_023175	52633	Mm.383203	NM_023175	ENSMUSG00000022751	Nit2	1190017B19Rik|D16Ertd502e	nitrilase family, member 2	protein-coding
clp_H3K4me3_1_peak_1447	chr10	75517616	75518616	+	226	NA	promoter-TSS (NM_001347201)	promoter-TSS (NM_001347201)	74	NM_026095	67332	Mm.45151	NM_026095	ENSMUSG00000020180	Snrpd3	1700043E15Rik|2310009E13Rik|AW046420|SMD3	small nuclear ribonucleoprotein D3	protein-coding
clp_H3K4me3_1_peak_7650	chr18	60560400	60561400	+	226	NA	intron (NM_025776, intron 1 of 10)	CpG	114	NM_025776	66810	Mm.275106	NM_025776	ENSMUSG00000024604	Rbm22	8430430L24Rik	RNA binding motif protein 22	protein-coding
clp_H3K4me3_1_peak_5984	chr16	8470588	8471588	+	226	NA	intron (NM_146247, intron 1 of 10)	intron (NM_146247, intron 1 of 10)	275	NM_146247	239706	Mm.214953	NM_146247	ENSMUSG00000039345	Mettl22	-	methyltransferase like 22	protein-coding
clp_H3K4me3_1_peak_3831	chr12	100186626	100187626	+	226	NA	promoter-TSS (NR_045282)	promoter-TSS (NR_045282)	-842	NR_045282	100038378	Mm.387075	NR_045282	ENSMUSG00000072884	Gm10433	-	predicted gene 10433	ncRNA
clp_H3K4me3_1_peak_2936-2	chr11	97987891	97988891	+	226	NA	Intergenic	Intergenic	-1945	NM_001163608	72324	Mm.39617	NM_028199	ENSMUSG00000017417	Plxdc1	2410003I07Rik|AI848450|Tem7	plexin domain containing 1	protein-coding
clp_H3K4me3_1_peak_4943	chr14	54253113	54254113	+	226	NA	promoter-TSS (NM_001205181)	promoter-TSS (NM_001205181)	316	NM_001113358	13135	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding
clp_H3K4me3_1_peak_2589	chr11	75454021	75455021	+	226	NA	5' UTR (NM_138950, exon 1 of 10)	5' UTR (NM_138950, exon 1 of 10)	196	NM_138950	192652	Mm.340378	NM_138950	ENSMUSG00000045374	Wdr81	BC054822|Gm883|mFLJ00182|nur5	WD repeat domain 81	protein-coding
clp_H3K4me3_1_peak_2936	chr11	97987891	97988891	+	226	NA	Intergenic	Intergenic	-1945	NM_001163608	72324	Mm.39617	NM_028199	ENSMUSG00000017417	Plxdc1	2410003I07Rik|AI848450|Tem7	plexin domain containing 1	protein-coding
clp_H3K4me3_1_peak_7770	chr18	77766895	77767895	+	226	NA	intron (NM_001357531, intron 3 of 10)	intron (NM_001357531, intron 3 of 10)	404	NM_146089	225745	Mm.39293	NM_146089	ENSMUSG00000041840	Haus1	BC024400|Ccdc5|HEI-C	HAUS augmin-like complex, subunit 1	protein-coding
clp_H3K4me3_1_peak_1514	chr10	79745835	79746835	+	226	NA	intron (NM_172551, intron 1 of 20)	intron (NM_172551, intron 1 of 20)	246	NM_172551	216151	Mm.39001	NM_172551	ENSMUSG00000020329	Polrmt	1110018N15Rik|4932416K13	polymerase (RNA) mitochondrial (DNA directed)	protein-coding
clp_H3K4me3_1_peak_6086	chr16	18811907	18812907	+	225	NA	promoter-TSS (NM_009862)	promoter-TSS (NM_009862)	113	NM_011672	22230	Mm.237594	NM_011672	ENSMUSG00000005262	Ufd1	Ufd1l	ubiquitin recognition factor in ER-associated degradation 1	protein-coding
clp_H3K4me3_1_peak_11564	chr4	143412194	143413194	+	225	NA	5' UTR (NM_172877, exon 1 of 5)	5' UTR (NM_172877, exon 1 of 5)	268	NM_001355724	242736	Mm.275953	NM_172877	ENSMUSG00000046862	Pramef8	4732496O08Rik|AU023234	PRAME family member 8	protein-coding
clp_H3K4me3_1_peak_11564-2	chr4	143412194	143413194	+	225	NA	5' UTR (NM_172877, exon 1 of 5)	5' UTR (NM_172877, exon 1 of 5)	268	NM_001355724	242736	Mm.275953	NM_172877	ENSMUSG00000046862	Pramef8	4732496O08Rik|AU023234	PRAME family member 8	protein-coding
clp_H3K4me3_1_peak_13748	chr7	7120707	7121707	+	225	NA	intron (NM_172738, intron 1 of 4)	intron (NM_172738, intron 1 of 4)	269	NM_172738	232853	Mm.23838	NM_172738	ENSMUSG00000062116	Zfp954	5730403M16Rik|8030437F07|AA123315	zinc finger protein 954	protein-coding
clp_H3K4me3_1_peak_10039	chr3	81932287	81933287	+	225	NA	intron (NM_177662, intron 1 of 7)	intron (NM_177662, intron 1 of 7)	186	NM_177662	229445	Mm.254642	NM_177662	ENSMUSG00000028015	Ctso	A330105D01Rik|AI118514	cathepsin O	protein-coding
clp_H3K4me3_1_peak_10922	chr4	62965512	62966512	+	225	NA	5' UTR (NM_001369115, exon 1 of 15)	5' UTR (NM_001369115, exon 1 of 15)	445	NM_028326	72701	Mm.26479	NM_028326	ENSMUSG00000028358	Zfp618	2810031P15Rik|2810040O04Rik|AI415580|AI505139|D430033D05Rik|Nedd10|Znf618|bM257P7.1	zinc finger protein 618	protein-coding
clp_H3K4me3_1_peak_4951	chr14	54516564	54517564	+	224	NA	intron (NM_013768, intron 1 of 16)	intron (NM_013768, intron 1 of 16)	406	NM_001313906	27374	Mm.196585	NM_013768	ENSMUSG00000023110	Prmt5	Jbp1|Skb1	protein arginine N-methyltransferase 5	protein-coding
clp_H3K4me3_1_peak_16425	chr9	106159618	106160618	+	224	NA	Intergenic	CpG	-1980	NM_001039586	235582	Mm.335420	NM_174846	ENSMUSG00000020258	Glyctk	6230410P16Rik|C430006L12	glycerate kinase	protein-coding
clp_H3K4me3_1_peak_1943	chr10	128625685	128626685	+	224	NA	exon (NM_013765, exon 2 of 4)	exon (NM_013765, exon 2 of 4)	321	NM_013765	27370	Mm.32118	NM_013765	ENSMUSG00000025362	Rps26	-	ribosomal protein S26	protein-coding
clp_H3K4me3_1_peak_11124	chr4	116074248	116075248	+	224	NA	promoter-TSS (NM_153521)	promoter-TSS (NM_153521)	322	NM_025641	66576	Mm.181721	NM_025641	ENSMUSG00000063882	Uqcrh	2210416J04Rik|2310021J10Rik|2610041P16Rik	ubiquinol-cytochrome c reductase hinge protein	protein-coding
clp_H3K4me3_1_peak_255	chr1	59237217	59238217	+	223	NA	promoter-TSS (NM_001159948)	promoter-TSS (NM_001159948)	-486	NM_028717	74018	Mm.272078	NM_028717	ENSMUSG00000026024	Als2	3222402C23Rik|9430073A21Rik|Als2cr6|Alsin|mKIAA1563	alsin Rho guanine nucleotide exchange factor	protein-coding
clp_H3K4me3_1_peak_11179	chr4	118408933	118409933	+	223	NA	promoter-TSS (NM_020000)	promoter-TSS (NM_020000)	96	NM_001290688	80509	Mm.259567	NM_020000	ENSMUSG00000006392	Med8	2210021A15Rik|AB041805|ARC32	mediator complex subunit 8	protein-coding
clp_H3K4me3_1_peak_12373	chr5	115279430	115280430	+	223	NA	intron (NM_026504, intron 1 of 6)	intron (NM_026504, intron 1 of 6)	228	NM_026504	52064	Mm.290142	NM_026504	ENSMUSG00000041733	Coq5	1810014G04Rik|D5Ertd33e	coenzyme Q5 methyltransferase	protein-coding
clp_H3K4me3_1_peak_8511	chr2	15048509	15049509	+	223	NA	5' UTR (NM_001165942, exon 1 of 4)	5' UTR (NM_001165942, exon 1 of 4)	303	NM_001165942	74455	Mm.478923	NM_028950	ENSMUSG00000026707	Nsun6	4933403D21Rik|4933414E04Rik|NOPD1	NOL1/NOP2/Sun domain family member 6	protein-coding
clp_H3K4me3_1_peak_884	chr1	172632279	172633279	+	223	NA	exon (NM_026725, exon 1 of 2)	exon (NM_026725, exon 1 of 2)	195	NM_026725	68440	Mm.33024	NM_026725	ENSMUSG00000026544	Dusp23	1300005N15Rik|LDP-3	dual specificity phosphatase 23	protein-coding
clp_H3K4me3_1_peak_1326	chr10	58323533	58324533	+	223	NA	intron (NM_001359115, intron 1 of 10)	Charlie1|DNA|hAT-Charlie	486	NM_026148	110829	Mm.57734	NM_026148	ENSMUSG00000019920	Lims1	2310016J22Rik|4921524A02Rik|AI507642|AU021743|AW551584|C430041B13Rik|Lims1l|PINCH|PINCH1	LIM and senescent cell antigen-like domains 1	protein-coding
clp_H3K4me3_1_peak_4511	chr13	90923376	90924376	+	223	NA	intron (NM_024175, intron 2 of 3)	intron (NM_024175, intron 2 of 3)	754	NM_024175	66475	Mm.306302	NM_024175	ENSMUSG00000049517	Rps23	2410044J15Rik	ribosomal protein S23	protein-coding
clp_H3K4me3_1_peak_4340	chr13	55535676	55536676	+	223	NA	intron (NM_134059, intron 2 of 16)	intron (NM_134059, intron 2 of 16)	482	NM_134059	72935	Mm.205045	NM_134059	ENSMUSG00000021494	Ddx41	2900024F02Rik|AA958953|ABS|AI324246	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	protein-coding
clp_H3K4me3_1_peak_15426	chr8	94036096	94037096	+	223	NA	promoter-TSS (NM_001093757)	promoter-TSS (NM_001093757)	443	NM_026623	68219	Mm.354445	NM_026623	ENSMUSG00000031754	Nudt21	25kDa|3110048P04Rik|5730530J16Rik|AU014860|AW549947|Cpsf5	nudix (nucleoside diphosphate linked moiety X)-type motif 21	protein-coding
